method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value,TIE_PROP,NOT_TIE_PROP,GFR
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
EPIRA-Full,skewed_groups,0.2317451881683128,0.55,0.5499999999999999,0.0,1.0,35.00385317267997
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Epsilon-Full,skewed_groups,0.07219727576583024,0.8,0.8,0.0,1.0,35.00385317267997
AVG,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Worst,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Fair-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Fair-Full,skewed_groups,0.0,0.9758241758241758,0.96,0.1,0.9,31.884697939470872
VanillaMC,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
FairMC,skewed_groups,0.17078982227645484,0.8681318681318682,0.88,0.1,0.9,31.884697939470872
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
EPIRA-Full,skewed_groups,0.2317451881683128,0.4989010989010989,0.49,0.1,0.9,31.884697939470872
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Epsilon-Full,skewed_groups,0.07219727576583024,0.8,0.8,0.1,0.9,31.884697939470872
AVG,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
Worst,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
Fair-Break,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
Fair-Full,skewed_groups,0.0,0.9950617283950617,0.9199999999999999,0.2,0.8,28.41896990257186
VanillaMC,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
FairMC,skewed_groups,0.20050518006120133,0.8475308641975309,0.81,0.2,0.8,28.41896990257186
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
EPIRA-Full,skewed_groups,0.2317451881683128,0.4345679012345679,0.3899999999999999,0.2,0.8,28.41896990257186
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
Epsilon-Full,skewed_groups,0.07219727576583024,0.7746913580246914,0.77,0.2,0.8,28.41896990257186
AVG,skewed_groups,0.4826029492624594,0.0,0.0,0.3,0.7,24.953241865672847
Worst,skewed_groups,0.4826029492624594,0.0,0.0,0.3,0.7,24.953241865672847
Fair-Break,skewed_groups,0.4826029492624594,0.0,0.0,0.3,0.7,24.953241865672847
Fair-Full,skewed_groups,0.0,0.9943661971830986,0.88,0.3,0.7,24.953241865672847
VanillaMC,skewed_groups,0.4826029492624594,0.0,0.0,0.3,0.7,24.953241865672847
FairMC,skewed_groups,0.23448025310138315,0.8244131455399061,0.74,0.3,0.7,24.953241865672847
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,0.0,0.3,0.7,24.953241865672847
EPIRA-Full,skewed_groups,0.2317451881683128,0.35399061032863854,0.2899999999999999,0.3,0.7,24.953241865672847
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,0.0,0.3,0.7,24.953241865672847
Epsilon-Full,skewed_groups,0.07219727576583024,0.7976525821596244,0.75,0.3,0.7,24.953241865672847
AVG,skewed_groups,0.4826029492624594,0.0,0.0,0.4,0.6,21.487513828773846
Worst,skewed_groups,0.4826029492624594,0.0,0.0,0.4,0.6,21.487513828773846
Fair-Break,skewed_groups,0.4826029492624594,0.0,0.0,0.4,0.6,21.487513828773846
Fair-Full,skewed_groups,0.0,0.9930327868852459,0.83,0.4,0.6,21.487513828773846
VanillaMC,skewed_groups,0.4826029492624594,0.0,0.0,0.4,0.6,21.487513828773846
